intersection_name,edge_direction,lane_direction,time,n_vehicles
e,south,leftType,0:00:24,0
e,south,straightType,0:00:24,3
e,south,leftType,0:01:45,0
e,south,straightType,0:01:45,4
e,south,leftType,0:03:06,0
e,south,straightType,0:03:06,8
e,south,leftType,0:04:17,0
e,south,straightType,0:04:17,6
e,south,leftType,0:05:28,0
e,south,straightType,0:05:28,6
e,south,leftType,0:06:39,1
e,south,straightType,0:06:39,7
e,south,leftType,0:07:50,0
e,south,straightType,0:07:50,2
e,south,leftType,0:09:01,0
e,south,straightType,0:09:01,2
e,south,leftType,0:10:12,0
e,south,straightType,0:10:12,4
e,south,leftType,0:11:23,0
e,south,straightType,0:11:23,3
e,south,leftType,0:12:34,0
e,south,straightType,0:12:34,5
e,south,leftType,0:13:45,0
e,south,straightType,0:13:45,5
e,south,leftType,0:14:56,0
e,south,straightType,0:14:56,1
e,south,leftType,0:16:07,0
e,south,straightType,0:16:07,11
e,south,leftType,0:17:18,0
e,south,straightType,0:17:18,4
e,south,leftType,0:18:29,0
e,south,straightType,0:18:29,3
e,south,leftType,0:19:40,0
e,south,straightType,0:19:40,8
e,south,leftType,0:20:51,0
e,south,straightType,0:20:51,7
e,south,leftType,0:22:02,0
e,south,straightType,0:22:02,3
e,south,leftType,0:23:13,0
e,south,straightType,0:23:13,10
e,south,leftType,0:24:24,0
e,south,straightType,0:24:24,4
e,south,leftType,0:25:35,2
e,south,straightType,0:25:35,8
e,south,leftType,0:26:46,0
e,south,straightType,0:26:46,3
e,south,leftType,0:27:57,0
e,south,straightType,0:27:57,3
e,south,leftType,0:29:08,0
e,south,straightType,0:29:08,6
e,south,leftType,0:30:19,0
e,south,straightType,0:30:19,2
e,south,leftType,0:31:30,1
e,south,straightType,0:31:30,3
e,south,leftType,0:32:41,0
e,south,straightType,0:32:41,4
e,south,leftType,0:33:52,0
e,south,straightType,0:33:52,9
e,south,leftType,0:35:03,0
e,south,straightType,0:35:03,6
e,south,leftType,0:36:14,0
e,south,straightType,0:36:14,7
e,south,leftType,0:37:25,1
e,south,straightType,0:37:25,3
e,south,leftType,0:38:36,0
e,south,straightType,0:38:36,3
e,south,leftType,0:39:47,0
e,south,straightType,0:39:47,2
e,south,leftType,0:40:58,1
e,south,straightType,0:40:58,4
e,south,leftType,0:42:09,0
e,south,straightType,0:42:09,2
e,south,leftType,0:43:20,0
e,south,straightType,0:43:20,3
e,south,leftType,0:44:31,0
e,south,straightType,0:44:31,4
e,south,leftType,0:45:42,0
e,south,straightType,0:45:42,2
e,south,leftType,0:46:53,1
e,south,straightType,0:46:53,6
e,south,leftType,0:48:04,0
e,south,straightType,0:48:04,4
e,south,leftType,0:49:15,0
e,south,straightType,0:49:15,3
e,south,leftType,0:50:26,0
e,south,straightType,0:50:26,8
e,south,leftType,0:51:37,0
e,south,straightType,0:51:37,6
e,south,leftType,0:52:48,0
e,south,straightType,0:52:48,4
e,south,leftType,0:53:59,0
e,south,straightType,0:53:59,5
e,south,leftType,0:55:10,0
e,south,straightType,0:55:10,1
e,south,leftType,0:56:21,0
e,south,straightType,0:56:21,1
e,south,leftType,0:57:32,0
e,south,straightType,0:57:32,7
e,south,leftType,0:58:43,0
e,south,straightType,0:58:43,4
e,south,leftType,0:59:54,0
e,south,straightType,0:59:54,3
e,south,leftType,1:01:05,0
e,south,straightType,1:01:05,5
e,south,leftType,1:02:16,0
e,south,straightType,1:02:16,1
e,south,leftType,1:03:27,0
e,south,straightType,1:03:27,1
e,south,leftType,1:04:38,0
e,south,straightType,1:04:38,2
e,south,leftType,1:05:49,0
e,south,straightType,1:05:49,2
e,south,leftType,1:07:00,1
e,south,straightType,1:07:00,4
e,south,leftType,1:08:11,0
e,south,straightType,1:08:11,7
e,south,leftType,1:09:22,0
e,south,straightType,1:09:22,1
e,south,leftType,1:10:33,0
e,south,straightType,1:10:33,3
e,south,leftType,1:11:44,0
e,south,straightType,1:11:44,6
e,south,leftType,1:12:55,0
e,south,straightType,1:12:55,3
e,south,leftType,1:14:06,0
e,south,straightType,1:14:06,8
e,south,leftType,1:15:17,0
e,south,straightType,1:15:17,3
e,south,leftType,1:16:28,0
e,south,straightType,1:16:28,1
e,south,leftType,1:17:39,0
e,south,straightType,1:17:39,6
e,south,leftType,1:18:50,0
e,south,straightType,1:18:50,3
e,south,leftType,1:20:01,1
e,south,straightType,1:20:01,1
e,south,leftType,1:21:12,0
e,south,straightType,1:21:12,7
e,south,leftType,1:22:23,0
e,south,straightType,1:22:23,2
e,south,leftType,1:23:34,0
e,south,straightType,1:23:34,4
e,south,leftType,1:24:45,0
e,south,straightType,1:24:45,1
e,south,leftType,1:25:56,0
e,south,straightType,1:25:56,0
e,south,leftType,1:27:07,0
e,south,straightType,1:27:07,2
e,south,leftType,1:28:18,0
e,south,straightType,1:28:18,3
e,south,leftType,1:29:29,0
e,south,straightType,1:29:29,2
e,south,leftType,1:30:40,0
e,south,straightType,1:30:40,4
e,south,leftType,1:31:51,0
e,south,straightType,1:31:51,0
e,south,leftType,1:33:02,0
e,south,straightType,1:33:02,0
e,south,leftType,1:34:13,1
e,south,straightType,1:34:13,2
e,south,leftType,1:35:24,0
e,south,straightType,1:35:24,1
e,south,leftType,1:36:35,0
e,south,straightType,1:36:35,3
e,south,leftType,1:37:46,0
e,south,straightType,1:37:46,4
e,south,leftType,1:38:57,0
e,south,straightType,1:38:57,3
e,south,leftType,1:40:08,0
e,south,straightType,1:40:08,0
e,south,leftType,1:41:19,0
e,south,straightType,1:41:19,3
e,south,leftType,1:42:30,0
e,south,straightType,1:42:30,4
e,south,leftType,1:43:41,0
e,south,straightType,1:43:41,2
e,south,leftType,1:44:52,0
e,south,straightType,1:44:52,2
e,south,leftType,1:46:03,0
e,south,straightType,1:46:03,3
e,south,leftType,1:47:14,0
e,south,straightType,1:47:14,2
e,south,leftType,1:48:25,0
e,south,straightType,1:48:25,4
e,south,leftType,1:49:36,0
e,south,straightType,1:49:36,2
e,south,leftType,1:50:47,0
e,south,straightType,1:50:47,0
e,south,leftType,1:51:58,0
e,south,straightType,1:51:58,2
e,south,leftType,1:53:09,0
e,south,straightType,1:53:09,2
e,south,leftType,1:54:20,0
e,south,straightType,1:54:20,3
e,south,leftType,1:55:31,0
e,south,straightType,1:55:31,1
e,south,leftType,1:56:42,0
e,south,straightType,1:56:42,2
e,south,leftType,1:57:53,0
e,south,straightType,1:57:53,1
e,south,leftType,1:59:04,0
e,south,straightType,1:59:04,0
e,south,leftType,2:02:37,0
e,south,straightType,2:02:37,0
e,south,leftType,2:03:58,0
e,south,straightType,2:03:58,0
e,south,leftType,2:05:19,0
e,south,straightType,2:05:19,3
e,south,leftType,2:06:40,0
e,south,straightType,2:06:40,4
e,south,leftType,2:08:01,0
e,south,straightType,2:08:01,0
e,south,leftType,2:09:22,0
e,south,straightType,2:09:22,1
e,south,leftType,2:10:43,0
e,south,straightType,2:10:43,2
e,south,leftType,2:12:04,0
e,south,straightType,2:12:04,4
e,south,leftType,2:13:25,0
e,south,straightType,2:13:25,4
e,south,leftType,2:14:46,0
e,south,straightType,2:14:46,3
e,south,leftType,2:16:07,0
e,south,straightType,2:16:07,2
e,south,leftType,2:17:28,0
e,south,straightType,2:17:28,3
e,south,leftType,2:18:49,0
e,south,straightType,2:18:49,1
e,south,leftType,2:20:10,0
e,south,straightType,2:20:10,2
e,south,leftType,2:21:31,0
e,south,straightType,2:21:31,2
e,south,leftType,2:22:52,0
e,south,straightType,2:22:52,1
e,south,leftType,2:24:13,0
e,south,straightType,2:24:13,1
e,south,leftType,2:25:34,0
e,south,straightType,2:25:34,2
e,south,leftType,2:26:55,0
e,south,straightType,2:26:55,2
e,south,leftType,2:28:16,0
e,south,straightType,2:28:16,2
e,south,leftType,2:29:37,0
e,south,straightType,2:29:37,0
e,south,leftType,2:30:58,0
e,south,straightType,2:30:58,1
e,south,leftType,2:32:19,0
e,south,straightType,2:32:19,5
e,south,leftType,2:33:40,0
e,south,straightType,2:33:40,1
e,south,leftType,2:35:01,0
e,south,straightType,2:35:01,1
e,south,leftType,2:36:22,0
e,south,straightType,2:36:22,4
e,south,leftType,2:37:43,0
e,south,straightType,2:37:43,2
e,south,leftType,2:39:04,0
e,south,straightType,2:39:04,1
e,south,leftType,2:40:25,0
e,south,straightType,2:40:25,1
e,south,leftType,2:41:46,0
e,south,straightType,2:41:46,2
e,south,leftType,2:43:07,0
e,south,straightType,2:43:07,3
e,south,leftType,2:44:28,0
e,south,straightType,2:44:28,2
e,south,leftType,2:45:49,0
e,south,straightType,2:45:49,1
e,south,leftType,2:47:10,0
e,south,straightType,2:47:10,3
e,south,leftType,2:48:31,0
e,south,straightType,2:48:31,2
e,south,leftType,2:49:52,0
e,south,straightType,2:49:52,1
e,south,leftType,2:51:13,0
e,south,straightType,2:51:13,0
e,south,leftType,2:52:34,0
e,south,straightType,2:52:34,1
e,south,leftType,2:53:55,0
e,south,straightType,2:53:55,4
e,south,leftType,2:55:16,1
e,south,straightType,2:55:16,1
e,south,leftType,2:56:37,0
e,south,straightType,2:56:37,2
e,south,leftType,2:57:58,1
e,south,straightType,2:57:58,2
e,south,leftType,2:59:19,0
e,south,straightType,2:59:19,5
e,south,leftType,3:00:40,0
e,south,straightType,3:00:40,2
e,south,leftType,3:02:01,0
e,south,straightType,3:02:01,1
e,south,leftType,3:03:22,0
e,south,straightType,3:03:22,3
e,south,leftType,3:04:43,0
e,south,straightType,3:04:43,2
e,south,leftType,3:06:04,0
e,south,straightType,3:06:04,2
e,south,leftType,3:07:25,0
e,south,straightType,3:07:25,3
e,south,leftType,3:08:46,0
e,south,straightType,3:08:46,3
e,south,leftType,3:10:07,0
e,south,straightType,3:10:07,5
e,south,leftType,3:11:28,0
e,south,straightType,3:11:28,1
e,south,leftType,3:12:49,0
e,south,straightType,3:12:49,1
e,south,leftType,3:14:10,0
e,south,straightType,3:14:10,1
e,south,leftType,3:15:31,0
e,south,straightType,3:15:31,0
e,south,leftType,3:16:52,0
e,south,straightType,3:16:52,6
e,south,leftType,3:18:13,0
e,south,straightType,3:18:13,1
e,south,leftType,3:19:34,0
e,south,straightType,3:19:34,5
e,south,leftType,3:20:55,0
e,south,straightType,3:20:55,0
e,south,leftType,3:22:16,0
e,south,straightType,3:22:16,4
e,south,leftType,3:23:37,0
e,south,straightType,3:23:37,0
e,south,leftType,3:24:58,0
e,south,straightType,3:24:58,1
e,south,leftType,3:26:19,0
e,south,straightType,3:26:19,1
e,south,leftType,3:27:40,0
e,south,straightType,3:27:40,1
e,south,leftType,3:29:01,0
e,south,straightType,3:29:01,4
e,south,leftType,3:30:22,0
e,south,straightType,3:30:22,2
e,south,leftType,3:31:43,0
e,south,straightType,3:31:43,1
e,south,leftType,3:33:04,0
e,south,straightType,3:33:04,3
e,south,leftType,3:34:25,0
e,south,straightType,3:34:25,0
e,south,leftType,3:35:46,0
e,south,straightType,3:35:46,1
e,south,leftType,3:37:07,0
e,south,straightType,3:37:07,0
e,south,leftType,3:38:28,0
e,south,straightType,3:38:28,1
e,south,leftType,3:39:49,0
e,south,straightType,3:39:49,1
e,south,leftType,3:41:10,0
e,south,straightType,3:41:10,1
e,south,leftType,3:42:31,0
e,south,straightType,3:42:31,0
e,south,leftType,3:43:52,0
e,south,straightType,3:43:52,0
e,south,leftType,3:45:13,0
e,south,straightType,3:45:13,5
e,south,leftType,3:46:34,0
e,south,straightType,3:46:34,2
e,south,leftType,3:47:55,0
e,south,straightType,3:47:55,3
e,south,leftType,3:49:16,0
e,south,straightType,3:49:16,1
e,south,leftType,3:50:37,0
e,south,straightType,3:50:37,2
e,south,leftType,3:51:58,0
e,south,straightType,3:51:58,2
e,south,leftType,3:53:19,0
e,south,straightType,3:53:19,0
e,south,leftType,3:54:40,0
e,south,straightType,3:54:40,1
e,south,leftType,3:56:01,0
e,south,straightType,3:56:01,4
e,south,leftType,3:57:22,0
e,south,straightType,3:57:22,0
e,south,leftType,3:58:43,0
e,south,straightType,3:58:43,1
e,south,leftType,4:00:04,0
e,south,straightType,4:00:04,0
e,south,leftType,4:01:25,0
e,south,straightType,4:01:25,0
e,south,leftType,4:02:46,0
e,south,straightType,4:02:46,1
e,south,leftType,4:04:07,0
e,south,straightType,4:04:07,1
e,south,leftType,4:05:28,0
e,south,straightType,4:05:28,1
e,south,leftType,4:06:49,0
e,south,straightType,4:06:49,2
e,south,leftType,4:08:10,0
e,south,straightType,4:08:10,2
e,south,leftType,4:09:31,0
e,south,straightType,4:09:31,1
e,south,leftType,4:10:52,0
e,south,straightType,4:10:52,0
e,south,leftType,4:12:13,0
e,south,straightType,4:12:13,1
e,south,leftType,4:13:34,0
e,south,straightType,4:13:34,0
e,south,leftType,4:14:55,0
e,south,straightType,4:14:55,1
e,south,leftType,4:16:16,0
e,south,straightType,4:16:16,1
e,south,leftType,4:17:37,0
e,south,straightType,4:17:37,0
e,south,leftType,4:18:58,0
e,south,straightType,4:18:58,2
e,south,leftType,4:20:19,0
e,south,straightType,4:20:19,2
e,south,leftType,4:21:40,0
e,south,straightType,4:21:40,2
e,south,leftType,4:23:01,0
e,south,straightType,4:23:01,1
e,south,leftType,4:24:22,0
e,south,straightType,4:24:22,2
e,south,leftType,4:25:43,0
e,south,straightType,4:25:43,1
e,south,leftType,4:27:04,0
e,south,straightType,4:27:04,3
e,south,leftType,4:28:25,0
e,south,straightType,4:28:25,3
e,south,leftType,4:29:46,0
e,south,straightType,4:29:46,0
e,south,leftType,4:31:07,0
e,south,straightType,4:31:07,0
e,south,leftType,4:32:28,0
e,south,straightType,4:32:28,1
e,south,leftType,4:33:49,0
e,south,straightType,4:33:49,2
e,south,leftType,4:35:10,0
e,south,straightType,4:35:10,0
e,south,leftType,4:36:31,0
e,south,straightType,4:36:31,1
e,south,leftType,4:37:52,0
e,south,straightType,4:37:52,1
